2018-01-25 13:37:58 status installed libsasl2-modules-db:armhf 2.1.27~101-g0780600+dfsg-3
2018-01-25 13:37:58 configure libsasl2-2:armhf 2.1.27~101-g0780600+dfsg-3 <none>
2018-01-25 13:37:58 status unpacked libsasl2-2:armhf 2.1.27~101-g0780600+dfsg-3
2018-01-25 13:37:58 status half-configured libsasl2-2:armhf 2.1.27~101-g0780600+dfsg-3
2018-01-25 13:37:58 status installed libsasl2-2:armhf 2.1.27~101-g0780600+dfsg-3
2018-01-25 13:37:59 configure libpcre3:armhf 2:8.39-3 <none>
2018-01-25 13:37:59 status unpacked libpcre3:armhf 2:8.39-3
2018-01-25 13:37:59 status half-configured libpcre3:armhf 2:8.39-3
2018-01-25 13:37:59 status installed libpcre3:armhf 2:8.39-3
2018-01-25 13:37:59 configure libkrb5support0:armhf 1.15-1+deb9u1 <none>
2018-01-25 13:37:59 status unpacked libkrb5support0:armhf 1.15-1+deb9u1
2018-01-25 13:37:59 status half-configured libkrb5support0:armhf 1.15-1+deb9u1
2018-01-25 13:37:59 status installed libkrb5support0:armhf 1.15-1+deb9u1
2018-01-25 13:37:59 configure libhogweed4:armhf 3.3-1+b2 <none>
2018-01-25 13:37:59 status unpacked libhogweed4:armhf 3.3-1+b2
2018-01-25 13:37:59 status half-configured libhogweed4:armhf 3.3-1+b2
2018-01-25 13:37:59 status installed libhogweed4:armhf 3.3-1+b2
2018-01-25 13:37:59 configure base-files:armhf 9.9+deb9u3 <none>
2018-01-25 13:37:59 status unpacked base-files:armhf 9.9+deb9u3
2018-01-25 13:37:59 status half-configured base-files:armhf 9.9+deb9u3
2018-01-25 13:38:01 status installed base-files:armhf 9.9+deb9u3
2018-01-25 13:38:01 configure libssh2-1:armhf 1.7.0-1 <none>
2018-01-25 13:38:01 status unpacked libssh2-1:armhf 1.7.0-1
2018-01-25 13:38:01 status half-configured libssh2-1:armhf 1.7.0-1
2018-01-25 13:38:01 status installed libssh2-1:armhf 1.7.0-1
2018-01-25 13:38:01 configure libusb-1.0-0:armhf 2:1.0.21-1 <none>
2018-01-25 13:38:01 status unpacked libusb-1.0-0:armhf 2:1.0.21-1
2018-01-25 13:38:01 status half-configured libusb-1.0-0:armhf 2:1.0.21-1
2018-01-25 13:38:01 status installed libusb-1.0-0:armhf 2:1.0.21-1
2018-01-25 13:38:01 configure debian-archive-keyring:all 2017.5 <none>
2018-01-25 13:38:01 status unpacked debian-archive-keyring:all 2017.5
2018-01-25 13:38:01 status half-configured debian-archive-keyring:all 2017.5
2018-01-25 13:38:02 status installed debian-archive-keyring:all 2017.5
2018-01-25 13:38:02 configure libselinux1:armhf 2.6-3+b3 <none>
2018-01-25 13:38:02 status unpacked libselinux1:armhf 2.6-3+b3
2018-01-25 13:38:02 status half-configured libselinux1:armhf 2.6-3+b3
2018-01-25 13:38:02 status installed libselinux1:armhf 2.6-3+b3
2018-01-25 13:38:02 configure vim-common:all 2:8.0.0197-4+deb9u1 <none>
2018-01-25 13:38:02 status unpacked vim-common:all 2:8.0.0197-4+deb9u1
2018-01-25 13:38:02 status half-configured vim-common:all 2:8.0.0197-4+deb9u1
2018-01-25 13:38:02 status installed vim-common:all 2:8.0.0197-4+deb9u1
2018-01-25 13:38:02 configure libstdc++6:armhf 6.3.0-18 <none>
2018-01-25 13:38:02 status unpacked libstdc++6:armhf 6.3.0-18
2018-01-25 13:38:02 status half-configured libstdc++6:armhf 6.3.0-18
2018-01-25 13:38:02 status installed libstdc++6:armhf 6.3.0-18
2018-01-25 13:38:02 configure libffi6:armhf 3.2.1-6 <none>
2018-01-25 13:38:02 status unpacked libffi6:armhf 3.2.1-6
2018-01-25 13:38:02 status half-configured libffi6:armhf 3.2.1-6
2018-01-25 13:38:02 status installed libffi6:armhf 3.2.1-6
2018-01-25 13:38:02 configure findutils:armhf 4.6.0+git+20161106-2 <none>
2018-01-25 13:38:02 status unpacked findutils:armhf 4.6.0+git+20161106-2
2018-01-25 13:38:02 status half-configured findutils:armhf 4.6.0+git+20161106-2
2018-01-25 13:38:02 status installed findutils:armhf 4.6.0+git+20161106-2
2018-01-25 13:38:02 configure net-tools:armhf 1.60+git20161116.90da8a0-1 <none>
2018-01-25 13:38:02 status unpacked net-tools:armhf 1.60+git20161116.90da8a0-1
2018-01-25 13:38:03 status half-configured net-tools:armhf 1.60+git20161116.90da8a0-1
2018-01-25 13:38:03 status installed net-tools:armhf 1.60+git20161116.90da8a0-1
2018-01-25 13:38:03 configure libacl1:armhf 2.2.52-3+b1 <none>
2018-01-25 13:38:03 status unpacked libacl1:armhf 2.2.52-3+b1
2018-01-25 13:38:03 status half-configured libacl1:armhf 2.2.52-3+b1
2018-01-25 13:38:03 status installed libacl1:armhf 2.2.52-3+b1
2018-01-25 13:38:03 configure ncurses-bin:armhf 6.0+20161126-1+deb9u1 <none>
2018-01-25 13:38:03 status unpacked ncurses-bin:armhf 6.0+20161126-1+deb9u1
2018-01-25 13:38:03 status half-configured ncurses-bin:armhf 6.0+20161126-1+deb9u1
2018-01-25 13:38:03 status installed ncurses-bin:armhf 6.0+20161126-1+deb9u1
2018-01-25 13:38:03 configure python2.7-minimal:armhf 2.7.13-2+deb9u2 <none>
2018-01-25 13:38:03 status unpacked python2.7-minimal:armhf 2.7.13-2+deb9u2
2018-01-25 13:38:03 status half-configured python2.7-minimal:armhf 2.7.13-2+deb9u2
2018-01-25 13:38:12 status installed python2.7-minimal:armhf 2.7.13-2+deb9u2
2018-01-25 13:38:12 configure sed:armhf 4.4-1 <none>
2018-01-25 13:38:12 status unpacked sed:armhf 4.4-1
2018-01-25 13:38:12 status half-configured sed:armhf 4.4-1
2018-01-25 13:38:12 status installed sed:armhf 4.4-1
2018-01-25 13:38:12 configure iputils-ping:armhf 3:20161105-1 <none>
2018-01-25 13:38:12 status unpacked iputils-ping:armhf 3:20161105-1
2018-01-25 13:38:12 status half-configured iputils-ping:armhf 3:20161105-1
2018-01-25 13:38:13 status installed iputils-ping:armhf 3:20161105-1
2018-01-25 13:38:13 configure libncurses5:armhf 6.0+20161126-1+deb9u1 <none>
2018-01-25 13:38:13 status unpacked libncurses5:armhf 6.0+20161126-1+deb9u1
2018-01-25 13:38:13 status half-configured libncurses5:armhf 6.0+20161126-1+deb9u1
2018-01-25 13:38:13 status installed libncurses5:armhf 6.0+20161126-1+deb9u1
